model,best_cv_score(roc_auc),accuracy,precision,recall,f1,roc_auc,pr_auc,best_params
HistGradientBoosting,0.7832569837567855,0.8156666666666667,0.646746347941567,0.36699321778447624,0.46826923076923077,0.7773249975689684,0.5551244679549934,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 31, 'model__max_depth': 10, 'model__learning_rate': 0.1, 'model__l2_regularization': 1.0}"
ExtraTrees,0.7803251352254238,0.7823333333333333,0.5069215557020436,0.5795026375282593,0.5407876230661041,0.7728306126473959,0.5550073037692982,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 8}"
RandomForest,0.7790629517309778,0.8013333333333333,0.5540432345876701,0.5214770158251696,0.5372670807453416,0.771041324958221,0.5461052986634889,"{'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 16}"
KNN,0.7495869492342977,0.8078333333333333,0.639871382636656,0.29992464204973623,0.40841457157516675,0.7468095430611905,0.5029217840208685,"{'model__n_neighbors': 31, 'model__p': 1, 'model__weights': 'distance'}"
LogisticRegression,0.7521306006347589,0.7321666666666666,0.42670157068062825,0.6141672946495855,0.503552672227371,0.742814104208773,0.49503205842621856,"{'model__C': 0.5, 'model__solver': 'liblinear'}"
