idx,매물ID,상세링크,error
286,39900576,https://fem.encar.com/cars/detail/39900576?advClickPosition=mweb_mhightlight_g36_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
287,39961440,https://fem.encar.com/cars/detail/39961440?advClickPosition=mweb_mhightlight_g37_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
288,39475193,https://fem.encar.com/cars/detail/39475193?advClickPosition=mweb_mhightlight_g38_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
289,41327782,https://fem.encar.com/cars/detail/41327782?advClickPosition=mweb_mhightlight_g39_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
290,41321657,https://fem.encar.com/cars/detail/41321657?advClickPosition=mweb_mhightlight_g40_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
291,41312057,https://fem.encar.com/cars/detail/41312057?advClickPosition=mweb_mhightlight_g41_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
292,41292320,https://fem.encar.com/cars/detail/41292320?advClickPosition=mweb_mhightlight_g42_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
293,41281515,https://fem.encar.com/cars/detail/41281515?advClickPosition=mweb_mhightlight_g43_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
294,41283741,https://fem.encar.com/cars/detail/41283741?advClickPosition=mweb_mhightlight_g44_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
295,41280357,https://fem.encar.com/cars/detail/41280357?advClickPosition=mweb_mhightlight_g45_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
296,41282289,https://fem.encar.com/cars/detail/41282289?advClickPosition=mweb_mhightlight_g46_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
297,41199398,https://fem.encar.com/cars/detail/41199398?advClickPosition=mweb_mhightlight_g47_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
298,41198421,https://fem.encar.com/cars/detail/41198421?advClickPosition=mweb_mhightlight_g48_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
299,41189638,https://fem.encar.com/cars/detail/41189638?advClickPosition=mweb_mhightlight_g49_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
300,41181546,https://fem.encar.com/cars/detail/41181546?advClickPosition=mweb_mhightlight_g50_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
