매물ID,브랜드,제조사,모델,등급명,세부트림,차량명,현재가격_만원,가격로그,연식,차량연령,주행거리_km,주행거리_로그,연료,변속기,색상,지역,차급,배기량_cc,좌석수,압류건수,저당건수,보험이력건수,보험이력_여부,교환_개수,판금_개수,부식_여부,교환_여부,판금_여부,외판수리_여부,사고강도점수,사고종합_여부,중대사고_추정,부식_위험,옵션_기본코드개수,옵션_선택코드개수,옵션_튜닝코드개수,옵션_기타개수,엔카진단여부값,엔카믿고값,조회수,찜수
41614708,르노,르노코리아(삼성),SM3 네오,SE,,SM3 네오 SE,270,5.602118820879701,2015,11,158264,11.9720261222443,가솔린,오토,흰색,충남,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,23,1,0,0,-1,-1,41.0,0.0
41393218,르노,르노코리아(삼성),더 뉴 SM6,1.8 TCe 프리미에르,,더 뉴 SM6 1.8 TCe 프리미에르,2120,7.659642954564682,2022,4,14589,9.588091641516831,가솔린,오토,쥐색,경기,중형차,1798,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,43,0,0,0,0,-1,1615.0,14.0
41216505,르노,르노코리아(삼성),SM6,1.6 TCe LE,,SM6 1.6 TCe LE,580,6.364750756851911,2017,9,118157,11.679777990860252,가솔린,오토,흰색,충남,중형차,1618,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,39,2,0,0,-1,-1,385.0,7.0
40048731,르노,르노코리아(삼성),SM3 네오,SE 플러스,,SM3 네오 SE 플러스,270,5.602118820879701,2015,11,122833,11.718589129337104,가솔린,오토,흰색,경기,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,27,1,0,0,0,-1,63.0,0.0
40048242,르노,르노코리아(삼성),XM3,1.3 TCe RE,,XM3 1.3 TCe RE,1230,7.115582126184454,2020,6,91960,11.429119853111164,가솔린,오토,흰색,경북,SUV,1332,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,37,2,0,0,0,-1,13.0,0.0
40835758,르노,르노코리아(삼성),SM3 네오,SE 플러스,,SM3 네오 SE 플러스,330,5.802118375377063,2015,11,104764,11.559475025623208,가솔린,오토,쥐색,경기,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,27,1,0,0,-1,-1,53.0,0.0
41234809,르노,르노코리아(삼성),뉴QM5,디젤 2WD LE,,뉴QM5 디젤 2WD LE,250,5.5254529391317835,2012,14,170502,12.04650817085883,디젤,오토,흰색,경기,SUV,1995,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,27,2,0,0,0,-1,115.0,1.0
41194281,르노,르노코리아(삼성),뉴SM3,LE 플러스,,뉴SM3 LE 플러스,320,5.771441123130016,2010,16,135548,11.817088477548069,가솔린,오토,흰색,울산,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,22,1,0,0,-1,-1,44.0,0.0
41519642,르노,르노코리아(삼성),더 뉴 QM6,2.0 dCi RE 4WD,,더 뉴 QM6 2.0 dCi RE 4WD,1590,7.372118028337787,2020,6,105784,11.569164011417415,디젤,오토,흰색,경기,SUV,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,43,4,0,0,1,0,628.0,5.0
40149952,르노,르노코리아(삼성),QM6,가솔린 2WD RE,,QM6 가솔린 2WD RE,1150,7.048386408721883,2018,8,129031,11.76781571459702,가솔린,오토,흰색,경기,SUV,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,43,4,0,0,0,0,516.0,32.0
40915965,르노,르노코리아(삼성),뉴SM5 플래티넘,RE,기본형,뉴SM5 플래티넘 RE 기본형,490,6.19644412779452,2014,12,72684,11.193890314860424,가솔린,오토,은색,부산,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,38,0,0,0,1,0,34.0,26.0
