model,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean
Baseline_RF,0.8172916666666665,0.664366683261774,0.35185279850050855,0.4599777009323881,0.7705313531444866
Variant_Scaler_PCA15_RF,0.812125,0.651341611296696,0.3243550216457132,0.433030497509434,0.7510838346839597
Core_Scaler_PCA10_RF,0.8029583333333333,0.6170099136321762,0.2883787635940226,0.3929363228093121,0.7387260609265176
